address,name,labels,name_parsed,0,1,2,3,4
0x28fbe46d43ae10f0afe84e393368b891a3de98ea,0xUniverse: Wallet 2,0xuniverse,0xUniverse,0xuniverse,,,,
0x111111125434b319222cdbf8c261674adb56f3ae,1inch v2: Aggregation Router,"1inch,dex",1inch,1inch,dex,,,
0x11111112542d85b3ef69ae05771c2dccff4faa26,1inch v3: Aggregation Router,1inch,1inch,1inch,,,,
0x1111111254fb6c44bac0bed2854e76f90643097d,1inch v4: Aggregation Router,"1inch,dex",1inch,1inch,dex,,,
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,1inch: CHI Token,"1inch,blocked",1inch,1inch,blocked,,,
0x11111254369792b2ca5d084ab5eea397ca8fa48b,1inch: Exchange 2,"1inch,dex",1inch,1inch,dex,,,
0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,1inch: Router 2,"1inch,dex",1inch,1inch,dex,,,
0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1,1inch Foundation: Multisig,1inch,1inch,1inch,,,,
0xbaf9a5d4b0052359326a6cdab54babaa3a3a9643,1inch Liquidity Protocol: Factory Contract,1inch,1inch,1inch,,,,
0x1111111254eeb25477b68fb85ed929f73a960582,1inch v5: Aggregation Router,"1inch,dex",1inch,1inch,dex,,,
0x111111111117dc0aa78b770fa6a738034120c302,1inch: 1INCH Token,1inch,1inch,1inch,,,,
0x220bda5c8994804ac96ebe4df184d25e5c2196d4,1inch: Aggregation Executor,1inch,1inch,1inch,,,,
0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,1inch: Aggregation Executor 1,1inch,1inch,1inch,,,,
0x288931fa76d7b0482f0fd0bca9a50bf0d22b9fef,1inch: Aggregation Executor 2,1inch,1inch,1inch,,,,
0xe295ad71242373c37c5fda7b57f26f9ea1088afe,1inch: Airdrop,1inch,1inch,1inch,,,,
0xaccfac2339e16dc80c50d2fa81b5c2b049b4f947,1inch: Delegate Resolver,1inch,1inch,1inch,,,,
0x5fe3b8b19949c04da3f578c6468f3d444cd7a9bb,1inch: Deployer,1inch,1inch,1inch,,,,
0x7e1e3334130355799f833ffec2d731bca3e68af6,1inch: Deployer 2,1inch,1inch,1inch,,,,
0xae00455eac003408a2f10e895fbc6c6445535d56,1inch: Deployer 3,1inch,1inch,1inch,,,,
0x11799622f4d98a24514011e8527b969f7488ef47,1inch: Deployer 4,1inch,1inch,1inch,,,,
0x9a0c8ff858d273f57072d714bca7411d717501d7,1inch: Governance Staking,1inch,1inch,1inch,,,,
0x84d99aa569d93a9ca187d83734c8c4a519c4e9b1,1inch: Labs Resolver,"1inch,dex",1inch,1inch,dex,,,
0x119c71d3bbac22029622cbaec24854d3d32d2828,1inch: Limit Order Protocol V2,1inch,1inch,1inch,,,,
0x86b8eeb45b384219819b0c394b051148b021a875,1inch: Multisig,1inch,1inch,1inch,,,,
0xbf4543819ecede56220bcb1e8c1bba9ef290a58a,1inch: Resolver information,1inch,1inch,1inch,,,,
0xa88800cd213da5ae406ce248380802bd53b47647,1inch: Settlement,"1inch,dex",1inch,1inch,dex,,,
0x07d91f5fb9bf7798734c3f606db065549f6893bb,1inch: Spot Price Aggregator,1inch,1inch,1inch,,,,
0x1a87c0f9cca2f0926a155640e8958a8a6b0260be,1inch: Staking farm,1inch,1inch,1inch,,,,
0x225d3822de44e58ee935440e0c0b829c4232086e,1inch: Team Investment Fund Collection,1inch,1inch,1inch,,,,
