address,chain,contract,tags_id,tags_label,tags_rank,tags_excludeEntities,tags_tagParams,arkhamLabel_name,arkhamLabel_chainType,name,note,id,type,service,addresses,website,twitter,crunchbase,linkedin
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,linea,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,manta,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,mantle,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,optimism,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,polygon,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0xcaa6361e4ad457b8f2e78a44662b0de3df646fd3,sonic,False,,,,,,,,1inch,,1inch,dex-aggregator,,,https://1inch.io,https://twitter.com/1inch,https://www.crunchbase.com/organization/1inch-limited,https://www.linkedin.com/company/1inch
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,arbitrum_one,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,avalanche,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,base,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,blast,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,bsc,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,ethereum,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,flare,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
0x7af14adc8aea70f063c7ea3b2c1ad0d7a59c4bff,linea,False,,,,,,,,Rubicon Finance,,rubicon-finance,dex,,,https://rubicon.finance,https://twitter.com/rubicondefi,,
